標題,分類,時間,網址,內文
大跌後試圖反彈 歐股收小黑,證券,2018/10/13 01:24,https://www.cna.com.tw/news/afe/201810130007.aspx,（中央社倫敦12日綜合外電報導）投資人對經濟深感憂慮，尤其是美國持續升息，引發總統川普批評聯邦準備理事會（Fed）「瘋了」，全球股市在大跌後今天試圖反彈，歐股終場小黑作收。倫敦FTSE 100指數下跌0.16%，收在6995.91。法蘭克福DAX 30指數下跌0.13%，收在11523.81。巴黎CAC 40指數下跌0.20%，收在5095.98。（譯者：徐睿承）1071013
重視沙國投資 美財長和華爾街銀行如期參與會議,產經,2018/10/13 03:09,https://www.cna.com.tw/news/afe/201810130010.aspx,（中央社開羅/杜拜12日綜合外電報導）沙烏地阿拉伯的未來投資計畫會議發言人今天指出，僅管部分演講者和夥伴退出「令人失望」，但這項會議仍將按計畫於本月稍後舉行。美國財政部長和華爾街銀行將如期參加。這名發言人聲明指出：「僅管部分演講者和夥伴已退出（會議）令人失望，我們仍期盼歡迎來自全球各地數以千計的演講者、會議主持人和來賓前來參加10月23至25日在利雅德舉行的會議。」在沙國異議專欄記者哈紹吉（Jamal Khashoggi）2日失蹤後，許多媒體企業退出未來投資計畫（Future Investment Initiative）會議，彭博（Bloomberg）今天也宣布退出。路透社報導，雖然主要的媒體公司和企業領袖相繼宣布退出沙國會議，但美國財長梅努欽（Steven Mnuchin）和華爾街銀行仍將如期參與。川普稍早表示雖關切哈紹吉安危，但未見任何理由阻斷沙國在美國的投資後，梅努欽維持參與這次會議的計畫。自沙國政策批評者哈紹吉2日被見到進入沙國駐土耳其伊斯坦堡領事館後失蹤以來，美國盟友沙國所面臨的壓力即不斷升高。（譯者：徐睿承）1071013
WTO成員自主改革 美大使引台灣為例,產經,2018/10/13 08:02,https://www.cna.com.tw/news/afe/201810130011.aspx,"（中央社記者鄭崇生華盛頓12日專電）美國駐世界貿易組織（WTO）大使習達難今天說，升級WTO規則不一定能改變中國的貿易行為，但WTO改革仍得做，而美國希望有更多國家像台灣一樣，承諾自主改革。習達難（Dennis Shea）也是美國副貿易代表，他曾任美中經濟與安全審查委員會（US-China Economic and Security Review Commission, USCC）主席，對美台與兩岸經貿議題相當熟稔，也曾訪問台灣。他今年3月擔任美國駐WTO大使以來，已多次在會中與中國交鋒，今年7月，更當著中國駐WTO大使張向晨的面指責中國自2001年加入WTO以來，未邁向以市場為導向的政策和措施，他也不認同中國在WTO中自稱開發中國家，甚至提出應檢討中國的WTO會員資格。而他今天在華府參加智庫戰略暨國際研究中心（CSIS）研討會，討論美國改革WTO的策略，會中回答提問時，就在界定經濟體發展程度上，提到台灣的自主改革。習達難說，在最近一次的貿易政策檢討（Trade Policy Review）會議上，台灣就做出承諾，在未來談判中，將不再以「開發中國家」的定位，使用開發中國家所享有的「特殊與差別待遇」優惠，台灣將以「已開發國家」的定位參與談判，美國希望看到更多像台灣這樣的例子。事實上，台灣在加入WTO時就曾宣示，不會主張WTO給與開發中國家的任何權利，但過去在WTO農業協定談判期間，台灣以開發中國家自居，就曾遭包括美國在內的多個國家注意關切。WTO架構下，開發中國家的關稅減讓幅度及對敏感產品市場的保護，條件都優於已開發國家。WTO農業協定的前身是1994年烏拉圭回合談判後簽訂，歷經多年來數次談判仍陷僵局，更因美、中兩國在當前貿易緊張關係下，對對方的要價更提高，美國日前就要求中國作出更大承諾，減少農業補貼等措施。習達難今天說，美國改革WTO的優先順序，一是提高透明度，二是效率。他也再度指責中國是非市場經濟的國家，在各項貿易政策上都應該提高透明度，而中國在智慧財產權保護、強制技術轉移、國營企業優勢及政府政策補貼上，都引起許多國家不滿，但WTO現有規則不足以處理，也因此，美國要求WTO改革並不為過。他說，美國在應對中國的貿易不公上，沒有放棄WTO的上訴程序，美國也正與日本及歐洲聯盟聯手，一但三方在上述議題上達成共識，美國當然樂見其他國家參與，追求更公平貿易。他說，WTO改革需要時間，而採共識決的WTO要讓160多個會員國對一件事達成共識「可以想像有多難」，儘管他也懷疑，改革升級WTO規則是否就真能改變中國的貿易行為，但這些改革還是得做。美國總統川普上任以來，曾多次批評WTO的機制對美國不公，更揚言美國恐將退出WTO，而在WTO爭端解決機制中，美國近來阻止上訴機構（Appellate Body）新法官的任命，遭致多國批評。不過，習達難今天重申，上訴機構本身就應遵循WTO規則，他仍認為，貿易爭端的上訴裁決若未在規定的90天完成，就應遭否決。WTO曾指出，目前裁決結果常逾90天，原因是貿易爭端太過龐雜，且美國阻止任命上訴機構的新法官，增加現有法官已超量的工作，更拖慢裁決效率。WTO上訴機構常設7名成員，已有3名法官任期屆滿。（編輯：徐睿承）1071013"
科技股領軍強彈 美股呈現6個月來最大漲幅,證券,2018/10/13 04:51,https://www.cna.com.tw/news/afe/201810130013.aspx,（中央社紐約12日綜合外電報導）美股今天在科技股領軍強彈下勁揚，呈現6個月以來最大漲幅。道瓊工業指數終場上漲287.16點，或1.15%，收在25339.99點；標準普爾500指數上漲38.76點，或1.42%，收在2767.13點。以科技股為主的那斯達克指數上漲167.834點，或2.29%，收在7496.895點。（譯者：徐睿承）1071013
股市強彈帶動 油價黑翻紅,產經,2018/10/13 05:25,https://www.cna.com.tw/news/afe/201810130014.aspx,（中央社紐約12日綜合外電報導）國際油價今天在股市強彈帶動下收盤小漲，盤中因需求展望減弱而一度下跌。根據路透社資訊，紐約市場西德州中級原油價格上漲0.5%，收在每桶71.34美元。倫敦市場北海布倫特原油價格上漲0.2%，收在每桶80.43美元。（譯者：徐睿承）1071013
全球股市回穩財報利多加持 美股反彈道瓊漲287點,證券,2018/10/13 07:51,https://www.cna.com.tw/news/firstnews/201810130015.aspx,（中央社記者尹俊傑紐約12日專電）隨著全球股市回穩、財報季開出好彩頭，美股今天跌深反彈，道瓊工業指數終場勁揚287點，標準普爾500指數也甩開連6黑，上漲1.42%，讓一週來失血慘重的投資人鬆口氣。在美國聯邦準備理事會（Fed）持續升息恐損經濟成長的憂慮氣氛中，道瓊工業指數過去2天崩跌逾1300點，今天擺脫連跌陰影，一度大漲逾400點，午後雖短暫翻黑，但尾盤扶搖直上，終場上漲287.16點，漲幅1.15%，收在25339.99點。標普500指數上漲1.42%，收在2767.13點。在消費科技類股反彈、財報利多加持下，那斯達克綜合指數上漲2.29%，收在7496.89點。不過，美股即使止跌翻紅，道瓊指數和標普500指數週線跌幅仍超過4.1%，創3月以來最糟單週表現。這兩項基準指數已連3週收黑。前幾天慘遭拋售的指標科技股今天強勢反彈，Netflix大漲5.8%，亞馬遜（Amazon.com）上漲4%。蘋果（Apple）與Google母公司Alphabet也表現不俗，分別勁揚3.6%、2.9%。美股跌深反彈前，亞洲與歐洲股市已先回穩。台股勁揚2.4%，香港、上海、東京股市也都收紅；歐股則以小黑作收，英國、法國與德國股市跌幅都在0.2%左右。華爾街日報報導，部分分析師與投資人指出，財報季揭開序幕轉移市場焦點，有助支撐短線股價。摩根大通（JPMorgan Chase）、花旗集團（Citigroup）和富國銀行（Wells Fargo）今天都公布獲利成長，財報季有個好的開始。景順集團（Invesco）首席全球市場策略師胡伯（Kristina Hooper）說，財報利多帶動美股走揚，但她認為，亮麗的第3季財報只有短暫刺激作用，投資人更在意的是企業怎麼評估關稅、貿易緊張和其他市場變動對業務的影響。胡伯表示：「財報確實重要，但財測更為關鍵。」工具物流商快扣（Fastenal）本週公布獲利優於預期，但股價卻因公司高層談到關稅將拉高成本而走低。許多投資人將快扣視為工業企業的風向球，這家公司的疑慮因而遍布整個產業。近幾個月，即使新興市場表現不振，美股仍能維持漲勢，但進入本週，美元走強和聯準會升息引發的憂慮升溫，美股急轉直下。部分分析師擔心，貿易衝突未來幾週甚至幾個月也將影響股市走勢。羅素投資集團（Russell Investments）固定收益全球投資長費茨派垂克（Gerard Fitzpatrick）認為，美股愈來愈貴且被高估，勢必將拉回整理。下週將有更多企業公布業績，包括美國銀行（Bank of America）、影音串流服務商Netflix和能源業巨擘施倫柏格（Schlumberger），華爾街也將持續關注美國零售銷售、新屋開工及成屋銷售等重要經濟數據。（編輯：徐睿承）1071013
像去朋友家買東西 地區百貨靠老顧客殺出重圍,產經,2018/10/13 19:42,https://www.cna.com.tw/news/afe/201810130021.aspx,（中央社記者朱則瑋台北13日電）連鎖百貨業透過集團優勢打出獨家商品及折扣優惠，電商則以便利性及價格搶食市場，地區型百貨公司在強敵環伺的市場中，靠著軟硬體鞏固高顧客回櫃率，用服務讓消費者再也離不開。新光三越、遠東百貨、遠東SOGO等百貨集團在全台都有不同連鎖分館，靠著高折扣及多樣獨家品牌，成功搶占零售市場灘頭，就算近年來面對電商搶市，業績表現依然亮眼；據經濟部統計，今年百貨零售業前8月營業額達新台幣2057億元、年增2.7%。不過資本相對較少的地區型百貨公司，在連鎖百貨跟電商夾擊中學得生存之道，靠著無形及軟性服務，鎖定在地族群，成功殺出重圍。以位在台中市一級戰區的廣三SOGO百貨為例，面對新光三越、遠東SOGO等大型百貨夾擊，廣三SOGO專心經營老顧客，每月平均仍有40多萬名顧客，週年慶等促銷檔期也都有亮眼的業績表現，秘訣就是注重服務強度，讓消費者「感覺就像去朋友家買東西」，相信對方不會亂推銷，買下不需要或不適合的商品。擁有10多年百貨銷售經驗，在廣三SOGO百貨運動器材及家具商品擔任櫃位人員的王小姐，接觸的顧客有7成是老顧客，有人從外縣市甚至大陸特別指明找她購買商品，就是因為她打從心裡體貼客人的心情。王小姐說，她自己會記住老顧客的生日、興趣、喜歡的東西、結婚紀念日等特別的日子，且不會只傳罐頭訊息或一般廣告印刷品，她還會親自去禮品店選購適合顧客的卡片，手寫一些祝福跟關心的話，收到的顧客通常會很感動，更願意來找她聊天，順道看看商品。她舉例，來台經商、因緣際會曾到櫃位購買商品的一位陸商，就算對方回去大陸，王小姐依舊透過微信等通訊軟體表達關心，或是準備小禮物寄到對方在台灣的辦事處，讓這位陸商對台灣櫃位人員的服務豎起大拇指，對方再來台時就帶來一筆新台幣200多萬元的訂單，也會介紹大陸的朋友來跟她購買商品。「跟交朋友一樣不辛苦」，王小姐雖然得花自己時間整理老顧客資料、傳訊息聯繫感情，但她樂在其中，因為除了業績表現穩定外，也跟不少顧客變成好朋友。廣三公關曾薇軒表示，經營主顧客地區百貨一點都不輸給大型百貨，櫃位人員甚至需要更多耐心、細心才能建立信任關係，因為太信任櫃姐，有些顧客還會願意直接交給櫃姐信用卡，由櫃姐協助更換卡友好禮，有空時再回來領取，這種信任感就是服務最好的典範。地區百貨的櫃姐流動率通常不高，有的一做就是10幾年，比較資淺的也有5年以上，曾薇軒認為，應該是地區百貨不以業績當作唯一導向，而是著重老顧客，強調回櫃率，做出跟連鎖百貨的區別性。位在天母的大葉高島屋，老顧客比率也高達8成，業者表示，地區百貨在地客才是主力，加上鎖定家族客群，大葉高島屋不僅停車位多、娃娃車多，讓逛街的民眾休息區也多，雖然不是實質上的消費折扣，卻會給顧客最好的貼心感受。為落實服務品質，大葉高島屋的一級主管在百貨早上11時開店就會親自到門口迎賓，並每個月定期召開SU會議（SERVICE UP），針對顧客反映的問題點進行檢討。有深厚日本血統的大葉高島屋在人員規範也非常嚴格，如員工在賣場不可以兩兩並排走路，更不能與顧客搶用手扶梯、電梯、洗手間等設施。業者表示，地區型百貨也許折扣優惠比不上連鎖百貨，但針對顧客的在地化服務，給人賓至如歸的感覺，也讓他們能夠在電商及連鎖百貨夾擊下，依舊能成功找出活路。（編輯：林孟汝／張均懋）1071013
美財長：經濟強勁 美股跌勢只是自然修正,產經,2018/10/13 08:31,https://www.cna.com.tw/news/afe/201810130022.aspx,（中央社華盛頓12日綜合外電報導）美國財政部長梅努欽（Steven Mnuchin）今天表示，美國經濟依然強勁，美股本週跌勢「只是自然修正」。梅努欽在國際貨幣基金（IMF）於印尼峇里島舉行年會的場邊接受CNBC訪問時說，股市通常會「漲太高或跌太深」，然後會進行修正。在升息和美國貿易衝突等疑慮影響下，美國和全球股市前兩天接連下挫。華爾街主要指數今天在平盤上下激烈震盪後，終場以紅盤作收，但在前兩天慘跌拖累下，本週累計跌幅仍在4%左右。隨著大型銀行股今天公布正面的財報結果，市場也將觀察財報季登場表現。市場分析師說，從第3季財報結果可以看出美國總統川普發動的貿易戰，對企業獲利造成打擊的程度。對於川普一再挑釁攻擊美國聯邦準備理事會（Fed）的作法，梅努欽也予以淡化，僅表示川普「尊重聯準會的獨立性」。（譯者：劉淑琴/核稿：張曉雯）1071013
電商步步進逼  百貨業靠新三寶維持榮景,產經,2018/10/13 10:26,https://www.cna.com.tw/news/afe/201810130023.aspx,（中央社記者朱則瑋台北13日電）百貨公司面臨電商衝擊，近幾年開始轉型以娛樂社交為主的業態，餐飲、化妝品、精品這3大新業種，需要靠人服務的特性讓電商無法取代，成為百貨業維持業績成長的新動能。根據行政院主計總處統計，民國105年網路銷售金額達新台幣3兆5395億元，比100年成長73.8%，透過網路銷售給個人（家庭）規模達5257億元，比104年成長21.1%，電子商務逐漸成為民眾重要的購物方式，消費型態的改變，讓實體百貨不得不轉型和新的競爭者一爭長短。遠東百貨行銷企劃經理洪源宏指出，餐飲、化妝品跟精品不太可能單純在網路購買，以化妝品來說，不同的膚質需要專人介紹，使用對的商品才能有效果；餐飲則是一種社交行為，同學、同事、同鄉等要吃飯聊天，有話題的百貨美食餐廳就成為聚會首選。精品更不用說，高消費客群在意的不僅是價格優惠，更多的是專屬服務內容的價值，以遠百來說，「新三寶」都有5%到15%不等的成長力道。在電子商務步步進逼下，實體通路還是有一線生機，商業發展研究院商業科技應用研究所副所長戴凡真認為，就算在中國等電商使用率高的國家，網路銷售占零售總額最多也只有15%到17%，而且似乎已經到頂，顯示實體通路還是有一線生機。戴凡真分析，電商利基在於交易快速，民眾購買商品很快速、便宜、選擇多且商品數量擺設無極限，以前標榜販售多種貨品，且貨色齊全的百貨公司，只要缺少電商平台的某些特性，就容易被取代。也正因為如此，百貨公司被迫轉型，增強電商難以取代的娛樂社交等面向，「消費者得需出門到百貨公司才能獲得服務」。她說，現在電商對百貨零售的侵蝕已經結束，兩邊玩的是不一樣的遊戲，一邊玩規模效應，一邊玩娛樂體驗。不過，戴凡真也強調，百貨業者不能只想靠著餐飲等新業種維持業績，必須思索透過網路找出新出路，但不是利用網路提供線上購物，因為不管如何做都不會比電商還優秀，而是要用網路「把消費者拉出門並到百貨逛街」，給消費者離開家的好助力，才能真正維持好的業績成長動能。（編輯：林孟汝／張均懋）1071013
公司法申報新制上路  11/1開始受理,產經,2018/10/13 11:30,https://www.cna.com.tw/news/afe/201810130029.aspx,（中央社記者朱則瑋台北13日電）公司法修正後，除了國營事業及股票公開發行公司外，其他公司需申報負責人及主要股東資訊，經濟部指定台灣集中保管結算所建置資訊申報平台，將在11月1日受理首次申報工作。立法院今年通過公司法相關修正，其中，為了因應國際洗錢防制，要求除了國營事業跟股票公開發行公司外，所有公司都要申報公司負責人及主要股東資訊，經濟部擔心新法剛上路，可能多數企業不太知道如何申報，因此，規劃首次申報時間從11月1日到108年1月31日，為期長達3個月時間，藉此給公司足夠時間申報。經濟部商業司第四科科長蔡群儀今天表示，已指定台灣集中保管結算所建置及營運「公司負責人及主要股東資訊申報平台」，這個平台有重要訊息公告區、申報操作教學影片、Q&A及客服諮詢專線，提供豐富的資訊，公司也可透過這個平台完成所有申報作業。蔡群儀指出，為了便利線上申報時的身分識別及快速完成首次公司資料申報作業，公司申報時除了可使用傳統需插卡的工商憑證或自然人憑證外，經濟部協調衛福部健保署配合提供不需插卡，直接以健保卡卡號就能辨識申報人身分方式，省去申報人安裝讀卡機的麻煩。同時，整合及利用經濟部現有公司登記及財政部稅務資料，將已有的相關欄位資訊先匯入申報平台做為初始資料，公司只需上平台去確認或更新或補填資料即可，不必逐筆輸入資料。蔡群儀表示，公司的董事、監察人、經理人及持有股份或出資額超過一成的股東，都需申報包括姓名或法人名稱、國籍、出生年月日或法人設立登記年月日、身分證明文件號碼、持股數或出資額等資料，完成申報後，假使公司有變動，公司要在變動後15天內完成「變動申報」。此外，109年起，每年3月1日至3月31日要完成「年度申報」，將前一年度截至12月底的資料申報，不過在當年度1月1日至3月31日之間，如果資料有變動而且公司也在15天內完成「變動申報」，則已經是最新的資料，公司就不用再作「年度申報」。經濟部為了讓公司能更清楚瞭解申報操作流程，將跟台灣集中保管結算所從10月15日起，分別在台中、花東、台南、台北、桃園、高雄舉辦共7場巡迴宣導說明會，親自教導公司如何線上申報，無法親自參加的公司負責人也可在申報平台首頁觀看說明會錄影。（編輯：張均懋）1071013
